    common | 911 Operator
  uncommon | Fishing Guide
  uncommon | Fitness Trainer
  uncommon | Flight Attendant
  uncommon | Flight Attendant
  uncommon | Flooring Installer
  uncommon | Florist
  uncommon | Forensic Accountant
  uncommon | Forensic Technician
  uncommon | Forklift Operator
  uncommon | Franchise Owner
  uncommon | Fraud Analyst
  uncommon | Funeral Director
  uncommon | Furniture Maker
  uncommon | Furniture Restorer
  uncommon | Ghost Hunter
  uncommon | Ghost Hunter
  uncommon | Ghostwriter
  uncommon | Gigolo
  uncommon | Gigolo
  uncommon | Glazier
  uncommon | Golf Caddy
  uncommon | Graffiti Artist
  uncommon | Graffiti Artist
  uncommon | Graphic Designer
  uncommon | Graphic Designer
  uncommon | Group Fitness Instructor
  uncommon | Gymnast
  uncommon | Gymnast
  uncommon | HVAC Tech
  uncommon | Hairdresser
  uncommon | Hairdresser/Stylist
  uncommon | Harbor Master
  uncommon | Heavy Equipment Operator
  uncommon | Homeopath
  uncommon | Homeopath
  uncommon | Horse Trainer
  uncommon | Hospice Worker
  uncommon | Hotel Manager
  uncommon | House Sitter
  uncommon | Hunter / Outdoorsman
  uncommon | Hunting Guide
  uncommon | IT Technician
  uncommon | Identity Thief
  uncommon | Identity Thief
  uncommon | Illustrator
  uncommon | Infantryman
  uncommon | Insurance Adjuster
  uncommon | Insurance Agent
  uncommon | Interior Designer
  uncommon | Intermediary
  uncommon | Jeweler
  uncommon | Jewelry Appraiser
  uncommon | Jewelry Repair
  uncommon | Journalist
  uncommon | Juggler
  uncommon | K9 Handler
  uncommon | Kennel Worker
  uncommon | Lab Assistant
  uncommon | Lab Technician
  uncommon | Liaison
  uncommon | Lighting Designer
  uncommon | Limo Driver
  uncommon | Line Installer
  uncommon | Linesperson
  uncommon | Loan Shark
  uncommon | Loan Shark
  uncommon | Locksmith
  uncommon | Locksmith
  uncommon | Machinist
  uncommon | Maid
  uncommon | Makeup Artist
  uncommon | Makeup Artist
  uncommon | Management Consultant
  uncommon | Management Consultant
  uncommon | Marine
  uncommon | Marine Biologist
  uncommon | Marketing Director
  uncommon | Marketing Director
  uncommon | Martial Arts Instructor
  uncommon | Martial Arts Instructor
  uncommon | Mason
  uncommon | Massage Therapist
  uncommon | Master Baker
  uncommon | Mediator
  uncommon | Medical Coder
  uncommon | Medical Office Manager
  uncommon | Middleman
  uncommon | Midwife
  uncommon | Midwife
  uncommon | Mime
  uncommon | Mortician
  uncommon | Mountain Guide
  uncommon | Mountain Guide
  uncommon | Mover
  uncommon | Music Teacher
  uncommon | Musician
  uncommon | Nail Technician
  uncommon | Naturopath
  uncommon | Naturopath
  uncommon | Novelist
  uncommon | Novelist
  uncommon | Novelist
  uncommon | Numbers Runner
  uncommon | Nurse
  uncommon | Nursing Student
  uncommon | Occupational Therapist
  uncommon | Occupational Therapy Asst
  uncommon | Office Manager
  uncommon | Optician
  uncommon | Optometrist
  uncommon | Outdoor Guide
  uncommon | Packer
  uncommon | Painter
  uncommon | Paramedic
  uncommon | Paramedic
  uncommon | Parkour Practitioner
  uncommon | Parkour Practitioner
  uncommon | Parkour Practitioner
  uncommon | Pastry Chef
  uncommon | Pastry Chef
  uncommon | Personal Trainer
  uncommon | Pharmacy Tech
  uncommon | Pharmacy Technician
  uncommon | Photographer
  uncommon | Photographer
  uncommon | Photojournalist
  uncommon | Photojournalist
  uncommon | Physical Therapist
  uncommon | Physical Therapist
  uncommon | Piano Tuner
  uncommon | Pickpocket
  uncommon | Pilates Instructor
  uncommon | Pit Fighter
  uncommon | Playwright
  uncommon | Playwright
  uncommon | Playwright
  uncommon | Plumber
  uncommon | Plumber
  uncommon | Poet
  uncommon | Poker Player (Professional)
  uncommon | Poker Player (Professional)
  uncommon | Police Officer
  uncommon | Police Officer
  uncommon | Pornstar / Adult Actor
  uncommon | Pornstar / Adult Actor
  uncommon | Postal Worker
  uncommon | Priest / Clergy
  uncommon | Private Investigator
  uncommon | Private Investigator
  uncommon | Private Investigator
  uncommon | Private Investigator
  uncommon | Private Security
  uncommon | Private Security Contractor
  uncommon | Professional Cuddler
  uncommon | Professional Cuddler
  uncommon | Professional Cyclist
  uncommon | Professional Cyclist
  uncommon | Professional Diver
  uncommon | Professional Gambler
  uncommon | Professional Gambler
  uncommon | Professional Golfer
  uncommon | Professional Golfer
  uncommon | Professional Swimmer
  uncommon | Professional Swimmer
  uncommon | Professional Wrestler
  uncommon | Professional Wrestler
  uncommon | Programmer
  uncommon | Programmer
  uncommon | Proofreader
  uncommon | Property Manager
  uncommon | Psychologist
  uncommon | Puppeteer
  uncommon | Quality Inspector
  uncommon | Radiology Tech
  uncommon | Real Estate Agent
  uncommon | Real Estate Developer
  uncommon | Real Estate Developer
  uncommon | Receiving Clerk
  uncommon | Registered Nurse
  uncommon | Representative
  uncommon | Restaurant Manager
  uncommon | Restaurant Manager
  uncommon | Riot Control Officer
  uncommon | Rock Climbing Instructor
  uncommon | Roofer
  uncommon | SFX Artist
  uncommon | Safari Guide
  uncommon | Safari Guide
  uncommon | Sailor
  uncommon | Scam Artist
  uncommon | Scam Artist
  uncommon | School Counselor
  uncommon | Scientist
  uncommon | Scientist
  uncommon | Scorekeeper
  uncommon | Screenwriter
  uncommon | Screenwriter
  uncommon | Screenwriter
  uncommon | Scuba Diving Instructor
  uncommon | Set Designer
  uncommon | Sheet Metal Worker
  uncommon | Shipping Clerk
  uncommon | Shoplifter
  uncommon | Shuttle Driver
  uncommon | Siding Installer
  uncommon | Singer
  uncommon | Ski Instructor
  uncommon | Ski Instructor
  uncommon | Skip Tracer
  uncommon | Small Engine Repair
  uncommon | Smuggler
  uncommon | Smuggler
  uncommon | Smuggler
  uncommon | Snowboard Instructor
  uncommon | Soccer Coach
  uncommon | Social Media Influencer
  uncommon | Social Media Influencer
  uncommon | Social Media Manager
  uncommon | Soldier
  uncommon | Soldier (Enlisted)
  uncommon | Sous Chef
  uncommon | Sous Chef
  uncommon | Sous Chef
  uncommon | Specialist
  uncommon | Speech Therapy Asst
  uncommon | Sports Referee
  uncommon | Stable Hand
  uncommon | Stock Trader
  uncommon | Stock Trader
  uncommon | Stolen Goods Dealer
  uncommon | Store Manager
  uncommon | Storyboard Artist
  uncommon | Street Fighter
  uncommon | Street Hustler
  uncommon | Stunt Double
  uncommon | Stunt Performer
  uncommon | Stunt Performer
  uncommon | Stunt Performer
  uncommon | Subcontractor
  uncommon | Sugar Baby
  uncommon | Sugar Baby
  uncommon | Surf Instructor
  uncommon | Surgical Tech
  uncommon | Surveyor
  uncommon | Surveyor
  uncommon | Survivalist
  uncommon | Survivalist
  uncommon | Swim Instructor
  uncommon | Tailor
  uncommon | Tailor/Seamstress
  uncommon | Tattoo Removal Technician
  uncommon | Taxi Driver
  uncommon | Teacher
  uncommon | Technical Writer
  uncommon | Tennis Coach
  uncommon | Test Prep Coach
  uncommon | Tile Setter
  uncommon | Timekeeper
  uncommon | Toolmaker
  uncommon | Tow Truck Driver
  uncommon | Track and Field Athlete
  uncommon | Track and Field Athlete
  uncommon | Train Conductor
  uncommon | Train Conductor
  uncommon | Transit Operator
  uncommon | Travel Agent
  uncommon | Truck Driver (Long Haul)
  uncommon | UI Designer
  uncommon | Umpire
  uncommon | Underground Boxer
  uncommon | Upholsterer
  uncommon | Vending Machine Tech
  uncommon | Veterinary Tech
  uncommon | Veterinary Technician
  uncommon | Video Game Developer
  uncommon | Video Game Developer
  uncommon | Videographer
  uncommon | Voice Actor
  uncommon | Voice Actor
  uncommon | Voice Actor
  uncommon | Wallpaper Hanger
  uncommon | Wastewater Operator
  uncommon | Watch Repair
  uncommon | Watch Repair Technician
  uncommon | Watchmaker
  uncommon | Web Designer
  uncommon | Web Developer
  uncommon | Welder
  uncommon | Wholesaler
  uncommon | Wilderness Guide
  uncommon | Winemaker
  uncommon | Wizard (Stage Magician)
  uncommon | Wizard (Stage Magician)
  uncommon | Woodworker
  uncommon | Yakuza Enforcer
  uncommon | Yakuza Enforcer
  uncommon | Yoga Instructor
  uncommon | Yoga Instructor
  uncommon | Zookeeper
 very_rare | Airline Pilot
 very_rare | Airline Pilot
 very_rare | Arms Dealer
 very_rare | Art Thief
 very_rare | Artistic Director
 very_rare | Astronaut
 very_rare | Bankrupt/Destitute
 very_rare | Black Market Organ Harvester Surgeon
 very_rare | Black Market Organ Harvester Surgeon
 very_rare | Black Operations Veteran
 very_rare | Black Ops Operator
 very_rare | CEO - Large Company
 very_rare | CEO - Large Company
 very_rare | Campaign Manager
 very_rare | Cartel Lieutenant
 very_rare | Cartel Sicario
 very_rare | Cat Burglar
 very_rare | Chief Engineer
 very_rare | Chief Epidemiologist
 very_rare | Chief Information Officer
 very_rare | Chief Inspector
 very_rare | Chief Logistics Officer
 very_rare | Chief Medical Officer
 very_rare | Chief Technology Officer
 very_rare | Chief of Staff
 very_rare | Chief of Surgery
 very_rare | Child Soldier (Former)
 very_rare | Child Soldier (Former)
 very_rare | Chronic Alcoholic
 very_rare | Chronic Gambler (Degenerate)
 very_rare | Cocaine Trafficker
 very_rare | Cold Case Specialist
 very_rare | Combat Instructor
 very_rare | Corporate CEO
 very_rare | Counter-Terrorism Commander
 very_rare | Counterfeiter
 very_rare | Counterfeiter
 very_rare | Counterintelligence Officer
 very_rare | Creative Director (Agency)
 very_rare | Crime Boss (City)
 very_rare | Crisis Manager
 very_rare | Cult Leader
 very_rare | Cult Leader
 very_rare | Cult Leader
 very_rare | Cyber Criminal Mastermind
 very_rare | Cyber Forensics Expert
 very_rare | Data Center Director
 very_rare | Dean of Faculty
 very_rare | Deep Cover Operative
 very_rare | Department Chair
 very_rare | Diplomat
 very_rare | Drug Addict
 very_rare | Drug Dealer Kingpin
 very_rare | Drug Dealer Kingpin
 very_rare | Drug Lord (Regional)
 very_rare | Editor-in-Chief
 very_rare | Elite Cyber Criminal
 very_rare | Elite Sniper
 very_rare | Elite Sports Agent
 very_rare | Estate Manager
 very_rare | Executive House Manager
 very_rare | Executive Producer
 very_rare | Executive Protection Agent
 very_rare | Extermination Squad Leader
 very_rare | FBI Agent
 very_rare | Fence Kingpin
 very_rare | Field Intelligence Operative
 very_rare | Fighter Jet Pilot
 very_rare | Film Director
 very_rare | Film Director
 very_rare | Film Producer
 very_rare | Forensic Engineer
 very_rare | Forger
 very_rare | Former Convict (Released)
 very_rare | Gladiator (Historical)
 very_rare | Gladiator (Historical)
 very_rare | Head Chef
 very_rare | Head of Neurology
 very_rare | Head of Operations
 very_rare | Hedge Fund Manager
 very_rare | Hedge Fund Manager
 very_rare | Heist Planner
 very_rare | Heroin Trafficker
 very_rare | High-Stakes Jewel Thief
 very_rare | High-Stakes Jewel Thief
 very_rare | High-Value Consultant
 very_rare | Hikikomori/Shut-In
 very_rare | Hitman
 very_rare | Homeless/Vagrant
 very_rare | Hostage Rescue Specialist
 very_rare | Human Trafficker
 very_rare | Human Trafficker
 very_rare | Human Trafficker
 very_rare | Human Trafficker
 very_rare | Illegal Arms Manufacturer
 very_rare | Industry Insider
 very_rare | Intelligence Analyst
 very_rare | Judge
 very_rare | Kingmaker
 very_rare | Lead Investigator
 very_rare | Lead Scientist
 very_rare | Lead Transplant Surgeon
 very_rare | Leading Authority in Field
 very_rare | Mad Scientist
 very_rare | Mad Scientist
 very_rare | Mafia Boss
 very_rare | Mafia Boss
 very_rare | Mafia Enforcer
 very_rare | Master Artisan
 very_rare | Master Baker
 very_rare | Master Butcher
 very_rare | Mayor
 very_rare | Mayor
 very_rare | Mercenary Commander
 very_rare | Mole
 very_rare | Money Launderer
 very_rare | NEET (Not in Education/Employment/Training)
 very_rare | National Threat Level Hacker
 very_rare | National Threat Level Hacker
 very_rare | Ninja (Historical)
 very_rare | Ninja (Historical)
 very_rare | Nobel Laureate Candidate
 very_rare | Nuclear Reactor Operator
 very_rare | Nuclear Reactor Operator
 very_rare | Obsessive Stalker
 very_rare | Olympic Medalist
 very_rare | Olympic Medalist
 very_rare | PMC Director
 very_rare | Patent Engineer
 very_rare | Power Broker
 very_rare | Press Secretary
 very_rare | Principal Engineer
 very_rare | Prison Inmate (Current)
 very_rare | Prison Warden
 very_rare | Professional Assassin
 very_rare | Professional Hitman
 very_rare | Professional Team Captain
 very_rare | Prosecutor
 very_rare | Psychiatric Director
 very_rare | Psychiatrist
 very_rare | Public Relations Director
 very_rare | Publisher
 very_rare | R&D Director
 very_rare | Rags to Riches Startup Founder
 very_rare | Rags to Riches Startup Founder
 very_rare | Research Director
 very_rare | Research Engineer
 very_rare | Safe Cracker
 very_rare | Samurai (Historical)
 very_rare | Samurai (Historical)
 very_rare | Secret Government AI Researcher
 very_rare | Secret Government AI Researcher
 very_rare | Secret Government Researcher
 very_rare | Secret Government Researcher
 very_rare | Ship Captain
 very_rare | Showrunner
 very_rare | Spy
 very_rare | Supply Chain Director
 very_rare | Systems Architect
 very_rare | Technology Director
 very_rare | Think Tank Fellow
 very_rare | Tomb Raider
 very_rare | Tomb Raider
 very_rare | Torturer
 very_rare | Turnaround Specialist
 very_rare | University President
 very_rare | Viking (Historical)
 very_rare | Viking (Historical)
 very_rare | War Correspondent
 very_rare | War Correspondent
 very_rare | War Criminal
 very_rare | War Criminal
 very_rare | Weapons Trafficker
 very_rare | World Champion
 very_rare | World Champion Fighter
 very_rare | World-Renowned Specialist
 very_rare | Yacht Captain
 very_rare | Yakuza Boss
 very_rare | Yakuza Boss
